x,y,heading,kappa,v,d_left,d_right
31.84083,-21.91518,0.68629,0.08160,8.00000,0.51209,1.60941
32.44659,-21.38186,0.75520,0.07634,8.00000,0.53647,1.63380
33.01985,-20.80530,0.81918,0.07139,8.00000,0.58524,1.60941
33.56211,-20.18831,0.87836,0.06667,8.00000,0.63401,1.56064
34.07399,-19.53440,0.93296,0.06211,8.00000,0.68278,1.51187
34.55597,-18.84738,0.98321,0.05765,8.00000,0.78032,1.43871
35.00860,-18.13123,1.02930,0.05326,8.00000,0.82909,1.36556
35.43263,-17.38985,1.07143,0.04894,8.00000,0.95102,1.26802
35.82912,-16.62700,1.10977,0.04467,8.00000,1.09733,1.14610
36.19934,-15.84634,1.14446,0.04046,8.00000,1.21925,0.95102
36.54470,-15.05151,1.17565,0.03633,8.00000,1.36556,0.87786
36.86678,-14.24606,1.20350,0.03229,8.00000,1.43871,0.78032
37.16734,-13.43322,1.22814,0.02836,8.00000,1.48748,0.70717
37.44841,-12.61560,1.24968,0.02455,8.00000,1.46310,0.73155
37.71247,-11.79434,1.26821,0.02085,8.00000,1.53625,0.63401
37.96220,-10.96974,1.28378,0.01725,8.00000,1.58503,0.58524
38.20007,-10.14243,1.29645,0.01374,8.00000,1.60941,0.53647
38.42848,-9.31302,1.30628,0.01030,8.00000,1.65818,0.56085
38.64978,-8.48213,1.31332,0.00690,8.00000,1.68257,0.51209
38.86631,-7.65028,1.31758,0.00351,8.00000,1.68257,0.51209
39.08039,-6.81803,1.31906,0.00009,8.00000,1.70695,0.48770
39.29437,-5.98592,1.31920,0.00026,8.00000,1.68257,0.51209
39.50814,-5.15386,1.31947,0.00038,8.00000,1.70695,0.48770
39.72164,-4.32180,1.31981,0.00046,8.00000,1.70695,0.48770
39.93481,-3.48971,1.32021,0.00050,8.00000,1.68257,0.51209
40.14764,-2.65756,1.32062,0.00051,8.00000,1.70695,0.48770
40.36011,-1.82535,1.32103,0.00050,8.00000,1.68257,0.51209
40.57223,-0.99306,1.32143,0.00048,8.00000,1.68257,0.51209
40.78403,-0.16071,1.32181,0.00044,8.00000,1.70695,0.53647
40.99552,0.67171,1.32215,0.00040,8.00000,1.68257,0.51209
41.20675,1.50419,1.32246,0.00035,8.00000,1.68257,0.51209
41.41773,2.33673,1.32272,0.00029,8.00000,1.65818,0.53647
41.62852,3.16931,1.32294,0.00024,8.00000,1.68257,0.51209
41.83914,4.00194,1.32311,0.00018,8.00000,1.68257,0.51209
42.04963,4.83460,1.32323,0.00012,8.00000,1.65818,0.53647
42.26005,5.66728,1.32331,0.00006,8.00000,1.65818,0.51209
42.47042,6.49998,1.32333,-0.00000,8.00000,1.68257,0.51209
42.68080,7.33267,1.32330,-0.00007,8.00000,1.65818,0.53647
42.89123,8.16536,1.32321,-0.00014,8.00000,1.65818,0.51209
43.10175,8.99802,1.32307,-0.00022,8.00000,1.63380,0.51209
43.31242,9.83065,1.32285,-0.00030,8.00000,1.65818,0.53647
43.52330,10.66323,1.32256,-0.00040,8.00000,1.65818,0.53647
43.73446,11.49574,1.32219,-0.00050,8.00000,1.63380,0.56085
43.94595,12.32816,1.32173,-0.00062,8.00000,1.65818,0.53647
44.15787,13.16048,1.32117,-0.00076,8.00000,1.65818,0.53647
44.37031,13.99267,1.32048,-0.00091,8.00000,1.63380,0.56085
44.58337,14.82471,1.31967,-0.00108,8.00000,1.65818,0.53647
44.79717,15.65656,1.31870,-0.00128,8.00000,1.60941,0.56085
45.01184,16.48818,1.31756,-0.00150,8.00000,1.63380,0.56085
45.22753,17.31950,1.31623,-0.00175,8.00000,1.65818,0.53647
45.44439,18.15044,1.31468,-0.00202,8.00000,1.63380,0.56085
45.66260,18.98092,1.31290,-0.00232,8.00000,1.65818,0.53647
45.88236,19.81088,1.31087,-0.00264,8.00000,1.63380,0.56085
46.10389,20.64027,1.30857,-0.00297,8.00000,1.65818,0.53647
46.32741,21.46902,1.30600,-0.00330,8.00000,1.63380,0.56085
46.55316,22.29708,1.30316,-0.00361,8.00000,1.68257,0.51209
46.78133,23.12439,1.30009,-0.00387,8.00000,1.65818,0.48770
47.01214,23.95099,1.30038,0.00458,8.00000,1.70695,0.51209
47.23988,24.77859,1.30763,0.01309,8.00000,1.73134,0.46332
47.45882,25.60894,1.32187,0.02163,8.00000,1.70695,0.48770
47.66325,26.44408,1.34307,0.03017,8.00000,1.70695,0.48770
47.84775,27.28723,1.37276,0.04259,8.00000,1.68257,0.53647
48.00384,28.14130,1.41236,0.05507,7.94002,1.63380,0.56085
48.12237,29.00605,1.46189,0.06770,7.59916,1.53625,0.68278
48.19384,29.87899,1.52151,0.08060,7.26696,1.41433,0.85347
48.20867,30.75578,1.59158,0.09389,6.94284,1.17048,1.09733
48.15745,31.62962,1.67271,0.10778,6.62546,0.97540,1.29241
48.03231,32.48023,1.76703,0.12246,6.31715,0.78032,1.43871
47.83225,33.26546,1.88036,0.13824,6.03063,0.63401,1.58503
47.56171,33.95155,2.02119,0.15651,5.78792,0.53647,1.70695
47.20752,34.55746,2.18974,0.17910,5.78792,0.46332,1.68257
46.73463,35.11266,2.35426,0.16131,5.78792,0.60962,1.63380
46.14863,35.62045,2.49449,0.14727,6.01626,0.75594,1.48748
45.45855,36.07692,2.61484,0.13540,6.26367,0.99979,1.24364
44.68310,36.47274,2.72005,0.12465,6.51702,1.21925,1.04856
43.85921,36.79410,2.81566,0.11543,6.76761,1.36556,0.87786
43.01401,37.03687,2.90504,0.10774,7.00908,1.41433,0.75594
42.15196,37.20565,2.98872,0.10098,7.24128,1.46310,0.73155
41.27736,37.30443,3.06715,0.09503,7.46642,1.46310,0.75594
40.39909,37.33639,3.14123,0.08985,7.68426,1.38994,0.82909
39.52449,37.30508,-3.07149,0.08530,7.89419,1.26802,0.95102
38.65938,37.21422,-3.00405,0.08130,8.00000,1.12171,1.04856
37.80931,37.06766,-2.93912,0.07776,8.00000,0.99979,1.21925
36.97980,36.86942,-2.87624,0.07455,8.00000,0.85347,1.34118
36.17499,36.62350,-2.81511,0.07155,8.00000,0.80471,1.41433
35.39369,36.33236,-2.75587,0.06873,8.00000,0.78032,1.38994
34.63166,35.99682,-2.69883,0.06616,8.00000,0.75594,1.46310
33.88844,35.61863,-2.64396,0.06378,8.00000,0.63401,1.56064
33.16982,35.20270,-2.59086,0.06145,8.00000,0.51209,1.65818
32.48240,34.75516,-2.53912,0.05908,8.00000,0.51209,1.70695
31.82821,34.27998,-2.48870,0.05670,8.00000,0.48770,1.70695
31.20142,33.77550,-2.44065,0.05310,8.00000,0.48770,1.70695
