x,y,heading,kappa,v,d_left,d_right
28.81575,47.33562,1.07334,0.03478,8.00000,1.70000,0.47500
29.21731,48.10086,1.10869,0.05178,7.63570,1.67500,0.55000
29.58512,48.88031,1.15810,0.06890,7.26790,1.62500,0.57500
29.90962,49.68205,1.22142,0.08629,6.91352,1.50000,0.70000
30.18277,50.52074,1.29762,0.10415,6.56634,1.40000,0.92500
30.38733,51.38705,1.38765,0.12290,6.22844,1.15000,1.15000
30.50067,52.23702,1.49705,0.14285,5.91618,0.85000,1.42500
30.50968,53.04298,1.63190,0.16496,5.64848,0.62500,1.60000
30.40533,53.79541,1.79744,0.19101,5.50532,0.47500,1.75000
30.18516,54.45025,1.99642,0.19796,5.50532,0.47500,1.67500
29.85046,55.01938,2.19491,0.17284,5.50532,0.70000,1.62500
29.35013,55.60980,2.34445,0.15485,5.77296,0.92500,1.40000
28.69610,56.20119,2.46197,0.13868,6.07665,1.20000,1.07500
27.96980,56.72515,2.56562,0.12428,6.37644,1.45000,0.80000
27.20877,57.16710,2.66014,0.11139,6.66747,1.65000,0.60000
26.41322,57.53839,2.74489,0.09941,6.95853,1.70000,0.50000
25.58574,57.84701,2.82166,0.09271,7.25528,1.72500,0.47500
24.73244,58.09526,2.89283,0.08652,7.53495,1.62500,0.55000
23.86206,58.28486,2.95910,0.08076,7.80179,1.55000,0.62500
22.98319,58.41807,3.02109,0.07537,8.00000,1.47500,0.72500
22.10178,58.49802,3.07914,0.07024,8.00000,1.40000,0.80000
21.22071,58.52828,3.13341,0.06533,8.00000,1.37500,0.80000
20.33950,58.51243,-3.09936,0.06059,8.00000,1.45000,0.72500
19.45772,58.45377,-3.05282,0.05596,8.00000,1.55000,0.62500
18.58301,58.35609,-3.00976,0.05143,8.00000,1.60000,0.52500
17.72149,58.22355,-2.96992,0.04699,8.00000,1.67500,0.47500
16.86869,58.05886,-2.93353,0.04259,8.00000,1.67500,0.50000
16.01984,57.86430,-2.89915,0.04225,8.00000,1.65000,0.55000
15.17551,57.64013,-2.86514,0.04195,8.00000,1.52500,0.62500
14.33767,57.38704,-2.83142,0.04169,8.00000,1.50000,0.67500
13.50890,57.10596,-2.79789,0.04149,8.00000,1.42500,0.72500
12.69175,56.79794,-2.76441,0.04136,8.00000,1.42500,0.75000
11.88749,56.46364,-2.73093,0.04129,8.00000,1.42500,0.75000
11.09646,56.10331,-2.69739,0.04131,8.00000,1.37500,0.75000
10.31909,55.71720,-2.66377,0.04141,8.00000,1.35000,0.82500
9.55603,55.30560,-2.62998,0.04161,8.00000,1.32500,0.90000
8.80797,54.86875,-2.59597,0.04190,8.00000,1.27500,0.90000
8.07553,54.40678,-2.56165,0.04231,8.00000,1.17500,1.00000
7.35994,53.92017,-2.52695,0.04281,8.00000,1.12500,1.12500
6.66340,53.41002,-2.49172,0.04339,8.00000,1.00000,1.20000
5.98843,52.87780,-2.45583,0.04402,8.00000,0.92500,1.27500
5.33761,52.32521,-2.41918,0.04466,8.00000,0.82500,1.35000
4.71338,51.75405,-2.38167,0.04529,8.00000,0.75000,1.42500
4.11767,51.16589,-2.34324,0.04588,8.00000,0.65000,1.55000
3.55072,50.56085,-2.30394,0.04646,8.00000,0.57500,1.62500
3.01093,49.93699,-2.26395,0.04704,8.00000,0.52500,1.72500
2.49745,49.29284,-2.22341,0.04761,8.00000,0.47500,1.70000
2.01063,48.62826,-2.18339,0.04581,8.00000,0.47500,1.67500
1.54968,47.94426,-2.14500,0.04395,8.00000,0.55000,1.65000
1.11370,47.24177,-2.10830,0.04202,8.00000,0.60000,1.60000
0.70161,46.52144,-2.07340,0.04006,8.00000,0.65000,1.55000
0.31141,45.78224,-2.04044,0.03802,8.00000,0.72500,1.47500
-0.05915,45.02247,-2.00961,0.03584,8.00000,0.85000,1.32500
-0.41094,44.24314,-1.98099,0.03351,8.00000,1.02500,1.20000
-0.74402,43.44756,-1.95455,0.03113,8.00000,1.15000,1.05000
-1.05840,42.63963,-1.93017,0.02876,8.00000,1.25000,0.95000
-1.35428,41.82321,-1.90772,0.02650,8.00000,1.35000,0.85000
-1.63221,41.00146,-1.88702,0.02440,8.00000,1.42500,0.77500
-1.89332,40.17576,-1.86792,0.02248,8.00000,1.52500,0.70000
-2.13898,39.34633,-1.85029,0.02073,8.00000,1.57500,0.65000
-2.37044,38.51336,-1.83401,0.01917,8.00000,1.60000,0.55000
-2.58878,37.67711,-1.81892,0.01779,8.00000,1.65000,0.52500
-2.79492,36.83787,-1.80487,0.01662,8.00000,1.65000,0.47500
-2.98959,35.99611,-1.79169,0.01565,8.00000,1.70000,0.47500
-3.17338,35.15246,-1.77921,0.01488,8.00000,1.70000,0.50000
-3.34674,34.30733,-1.76727,0.01430,8.00000,1.70000,0.47500
-3.51007,33.46094,-1.75558,0.01427,8.00000,1.67500,0.50000
-3.66338,32.61333,-1.74383,0.01441,8.00000,1.65000,0.50000
-3.80662,31.76430,-1.73190,0.01471,8.00000,1.62500,0.55000
-3.93969,30.91310,-1.71966,0.01518,8.00000,1.57500,0.62500
-4.06235,30.05911,-1.70699,0.01580,8.00000,1.50000,0.70000
-4.17410,29.20255,-1.69377,0.01656,8.00000,1.40000,0.77500
-4.27432,28.34411,-1.67990,0.01741,8.00000,1.30000,0.90000
-4.36228,27.48465,-1.66532,0.01829,8.00000,1.22500,1.00000
-4.43729,26.62510,-1.65000,0.01916,8.00000,1.10000,1.07500
-4.49867,25.76635,-1.63396,0.01998,8.00000,1.02500,1.15000
-4.54581,24.90929,-1.61724,0.02069,8.00000,0.97500,1.27500
-4.57822,24.05466,-1.59993,0.02126,8.00000,0.85000,1.32500
-4.59554,23.20300,-1.58215,0.02166,8.00000,0.82500,1.35000
-4.59753,22.35448,-1.56406,0.02185,8.00000,0.77500,1.40000
-4.58412,21.50825,-1.54585,0.02183,8.00000,0.75000,1.42500
-4.55530,20.66201,-1.52773,0.02165,8.00000,0.72500,1.45000
-4.51112,19.81396,-1.50989,0.02129,8.00000,0.72500,1.45000
-4.45175,18.96385,-1.49249,0.02074,8.00000,0.77500,1.40000
-4.37758,18.11209,-1.47567,0.02003,8.00000,0.85000,1.37500
-4.28913,17.25944,-1.45954,0.01916,8.00000,0.90000,1.32500
-4.18707,16.40684,-1.44420,0.01818,8.00000,1.02500,1.22500
-4.07217,15.55489,-1.42972,0.01711,8.00000,1.05000,1.15000
-3.94521,14.70385,-1.41615,0.01597,8.00000,1.12500,1.07500
-3.80701,13.85393,-1.40354,0.01480,8.00000,1.20000,0.97500
-3.65844,13.00533,-1.39190,0.01362,8.00000,1.30000,0.92500
-3.50037,12.15819,-1.38123,0.01243,8.00000,1.35000,0.87500
-3.33367,11.31262,-1.37153,0.01127,8.00000,1.37500,0.80000
-3.15919,10.46872,-1.36277,0.01013,8.00000,1.40000,0.77500
-2.97777,9.62655,-1.35492,0.00905,8.00000,1.47500,0.75000
-2.79020,8.78611,-1.34792,0.00802,8.00000,1.50000,0.67500
-2.59722,7.94743,-1.34175,0.00705,8.00000,1.55000,0.62500
-2.39953,7.11044,-1.33633,0.00615,8.00000,1.55000,0.62500
-2.19772,6.27490,-1.33163,0.00531,8.00000,1.60000,0.57500
-1.99231,5.44040,-1.32758,0.00455,8.00000,1.60000,0.57500
-1.78380,4.60670,-1.32413,0.00385,8.00000,1.60000,0.60000
-1.57265,3.77368,-1.32124,0.00320,8.00000,1.65000,0.55000
-1.35931,2.94121,-1.31885,0.00261,8.00000,1.67500,0.52500
-1.14418,2.10916,-1.31693,0.00207,8.00000,1.67500,0.52500
-0.92762,1.27743,-1.31544,0.00156,8.00000,1.70000,0.50000
-0.70999,0.44593,-1.31436,0.00107,8.00000,1.67500,0.52500
-0.49160,-0.38544,-1.31368,0.00059,8.00000,1.72500,0.47500
-0.27280,-1.21678,-1.31319,0.00060,8.00000,1.70000,0.50000
-0.05357,-2.04807,-1.31269,0.00061,8.00000,1.67500,0.52500
0.16610,-2.87933,-1.31219,0.00062,8.00000,1.67500,0.50000
0.38622,-3.71056,-1.31168,0.00062,8.00000,1.70000,0.50000
0.60677,-4.54175,-1.31117,0.00062,8.00000,1.67500,0.52500
0.82778,-5.37291,-1.31066,0.00062,8.00000,1.65000,0.50000
1.04923,-6.20404,-1.31015,0.00061,8.00000,1.67500,0.52500
1.27112,-7.03513,-1.30965,0.00059,8.00000,1.67500,0.50000
1.49343,-7.86618,-1.30918,0.00056,8.00000,1.67500,0.52500
1.71615,-8.69722,-1.30874,0.00052,8.00000,1.70000,0.50000
1.93924,-9.52823,-1.30834,0.00045,8.00000,1.67500,0.52500
2.16266,-10.35924,-1.30800,0.00037,8.00000,1.72500,0.47500
2.38635,-11.19026,-1.30775,0.00026,8.00000,1.70000,0.50000
2.61024,-12.02131,-1.30759,0.00013,8.00000,1.72500,0.47500
2.83421,-12.85233,-1.30754,-0.00001,8.00000,1.70000,0.50000
3.05809,-13.68300,-1.30761,-0.00017,8.00000,1.72500,0.47500
3.28165,-14.51297,-1.30781,-0.00031,8.00000,1.70000,0.50000
3.50480,-15.34224,-1.30811,-0.00043,8.00000,1.70000,0.47500
3.72748,-16.17093,-1.30640,0.00458,8.00000,1.70000,0.50000
3.95317,-16.99838,-1.30058,0.00957,8.00000,1.67500,0.47500
4.18558,-17.82477,-1.28749,0.02227,8.00000,1.70000,0.52500
4.43416,-18.65047,-1.26408,0.03494,8.00000,1.65000,0.52500
4.70804,-19.47441,-1.23053,0.04762,8.00000,1.60000,0.55000
5.01539,-20.29216,-1.18689,0.06042,7.72434,1.57500,0.67500
5.36365,-21.09739,-1.13305,0.07342,7.37770,1.45000,0.80000
5.75948,-21.88202,-1.06873,0.08677,7.03729,1.27500,0.92500
6.20838,-22.63608,-0.99337,0.10062,6.70105,1.15000,1.10000
6.71189,-23.34390,-0.90567,0.11522,6.36733,0.97500,1.22500
7.26397,-23.98189,-0.80271,0.13087,6.03728,0.85000,1.35000
7.85765,-24.53002,-0.68078,0.14817,5.71121,0.67500,1.55000
8.49382,-24.97801,-0.53721,0.16816,5.38412,0.55000,1.65000
9.16821,-25.31065,-0.36781,0.19244,5.05349,0.52500,1.62500
9.85523,-25.50262,-0.16151,0.22386,4.73354,0.55000,1.65000
10.55047,-25.53587,0.08838,0.26778,4.73354,0.47500,1.70000
11.26883,-25.37736,0.31261,0.19868,4.73354,0.60000,1.65000
